household_ID,cluster,consumption,mean,std
ID0004,1.0,236.24,153.4128821343718,123.00418083421654
ID0012,4.0,312.08,222.24722808458992,139.78949632344612
ID0013,2.0,153.08,92.95002341552134,68.66288330097842
ID0018,4.0,371.76,222.24722808458992,139.78949632344612
ID0024,2.0,240.72,92.95002341552134,68.66288330097842
ID0034,0.0,483.0,131.173002724289,98.9601521767689
ID0039,1.0,197.32,153.4128821343718,123.00418083421654
ID0043,1.0,394.5833333333333,153.4128821343718,123.00418083421654
ID0049,0.0,193.8,131.173002724289,98.9601521767689
ID0050,3.0,155.84,113.57842232275969,77.6044360447549
ID0052,3.0,159.64,113.57842232275969,77.6044360447549
ID0056,2.0,184.0,92.95002341552134,68.66288330097842
ID0066,1.0,512.4090909090909,153.4128821343718,123.00418083421654
ID0068,0.0,170.6,131.173002724289,98.9601521767689
ID0069,1.0,321.0,153.4128821343718,123.00418083421654
ID0071,2.0,168.8695652173913,92.95002341552134,68.66288330097842
ID0072,0.0,204.64,131.173002724289,98.9601521767689
ID0077,2.0,131.12,92.95002341552134,68.66288330097842
ID0081,3.0,152.0,113.57842232275969,77.6044360447549
ID0088,2.0,194.64,92.95002341552134,68.66288330097842
ID0101,2.0,148.92,92.95002341552134,68.66288330097842
ID0102,0.0,163.72,131.173002724289,98.9601521767689
ID0103,2.0,256.24,92.95002341552134,68.66288330097842
ID0104,1.0,242.36,153.4128821343718,123.00418083421654
ID0107,2.0,206.36,92.95002341552134,68.66288330097842
ID0108,0.0,178.76,131.173002724289,98.9601521767689
ID0115,1.0,240.6,153.4128821343718,123.00418083421654
ID0118,2.0,134.36,92.95002341552134,68.66288330097842
ID0125,0.0,169.84,131.173002724289,98.9601521767689
ID0127,4.0,366.12,222.24722808458992,139.78949632344612
ID0129,2.0,120.56,92.95002341552134,68.66288330097842
ID0134,1.0,201.84,153.4128821343718,123.00418083421654
ID0135,1.0,205.72,153.4128821343718,123.00418083421654
ID0137,2.0,315.76,92.95002341552134,68.66288330097842
ID0149,4.0,266.28,222.24722808458992,139.78949632344612
ID0152,1.0,223.96,153.4128821343718,123.00418083421654
ID0153,2.0,114.88,92.95002341552134,68.66288330097842
ID0174,2.0,155.76,92.95002341552134,68.66288330097842
ID0177,4.0,358.12,222.24722808458992,139.78949632344612
ID0182,2.0,447.92,92.95002341552134,68.66288330097842
ID0185,4.0,326.44,222.24722808458992,139.78949632344612
ID0186,2.0,118.28,92.95002341552134,68.66288330097842
ID0187,2.0,148.0,92.95002341552134,68.66288330097842
ID0189,4.0,325.6,222.24722808458992,139.78949632344612
ID0192,2.0,122.64,92.95002341552134,68.66288330097842
ID0198,4.0,437.56,222.24722808458992,139.78949632344612
ID0201,1.0,258.2,153.4128821343718,123.00418083421654
ID0202,2.0,158.8,92.95002341552134,68.66288330097842
ID0225,2.0,145.72,92.95002341552134,68.66288330097842
ID0229,1.0,320.76,153.4128821343718,123.00418083421654
ID0230,2.0,144.8,92.95002341552134,68.66288330097842
ID0237,2.0,165.44,92.95002341552134,68.66288330097842
ID0246,1.0,456.8,153.4128821343718,123.00418083421654
ID0247,1.0,331.96,153.4128821343718,123.00418083421654
ID0249,1.0,234.4,153.4128821343718,123.00418083421654
ID0255,0.0,372.92,131.173002724289,98.9601521767689
ID0256,2.0,168.56,92.95002341552134,68.66288330097842
ID0260,1.0,237.56,153.4128821343718,123.00418083421654
ID0269,0.0,215.44,131.173002724289,98.9601521767689
ID0273,1.0,248.96,153.4128821343718,123.00418083421654
ID0274,0.0,190.76,131.173002724289,98.9601521767689
ID0275,0.0,182.4,131.173002724289,98.9601521767689
ID0276,1.0,307.4583333333333,153.4128821343718,123.00418083421654
ID0278,1.0,201.44,153.4128821343718,123.00418083421654
ID0280,3.0,153.0,113.57842232275969,77.6044360447549
ID0282,2.0,134.6,92.95002341552134,68.66288330097842
ID0285,0.0,194.0,131.173002724289,98.9601521767689
ID0287,0.0,166.44,131.173002724289,98.9601521767689
ID0294,2.0,188.04,92.95002341552134,68.66288330097842
ID0296,0.0,338.6,131.173002724289,98.9601521767689
ID0307,2.0,198.5,92.95002341552134,68.66288330097842
ID0314,0.0,172.84,131.173002724289,98.9601521767689
ID0319,2.0,113.76,92.95002341552134,68.66288330097842
ID0321,2.0,287.375,92.95002341552134,68.66288330097842
ID0325,2.0,125.6,92.95002341552134,68.66288330097842
ID0327,0.0,161.44,131.173002724289,98.9601521767689
ID0332,2.0,134.6,92.95002341552134,68.66288330097842
ID0356,1.0,217.64,153.4128821343718,123.00418083421654
ID0357,2.0,175.48,92.95002341552134,68.66288330097842
ID0359,0.0,310.16,131.173002724289,98.9601521767689
ID0370,2.0,310.48,92.95002341552134,68.66288330097842
ID0377,1.0,197.32,153.4128821343718,123.00418083421654
ID0379,2.0,117.48,92.95002341552134,68.66288330097842
ID0389,2.0,131.36,92.95002341552134,68.66288330097842
ID0392,4.0,273.24,222.24722808458992,139.78949632344612
ID0395,1.0,972.0,153.4128821343718,123.00418083421654
ID0397,0.0,186.72,131.173002724289,98.9601521767689
ID0399,2.0,142.56,92.95002341552134,68.66288330097842
ID0403,2.0,122.52,92.95002341552134,68.66288330097842
ID0406,3.0,354.72,113.57842232275969,77.6044360447549
ID0416,4.0,714.5217391304348,222.24722808458992,139.78949632344612
ID0417,4.0,604.4,222.24722808458992,139.78949632344612
ID0421,2.0,119.32,92.95002341552134,68.66288330097842
ID0427,2.0,130.88,92.95002341552134,68.66288330097842
ID0440,2.0,145.24,92.95002341552134,68.66288330097842
ID0446,1.0,250.4,153.4128821343718,123.00418083421654
ID0457,2.0,179.25,92.95002341552134,68.66288330097842
ID0458,2.0,122.45833333333333,92.95002341552134,68.66288330097842
ID0467,2.0,547.04,92.95002341552134,68.66288330097842
ID0468,0.0,166.4,131.173002724289,98.9601521767689
ID0470,4.0,276.68,222.24722808458992,139.78949632344612
ID0471,0.0,199.72,131.173002724289,98.9601521767689
ID0486,2.0,116.2,92.95002341552134,68.66288330097842
ID0487,3.0,227.4,113.57842232275969,77.6044360447549
ID0499,0.0,246.32,131.173002724289,98.9601521767689
ID0501,1.0,213.2,153.4128821343718,123.00418083421654
ID0505,2.0,116.6,92.95002341552134,68.66288330097842
ID0508,0.0,217.2,131.173002724289,98.9601521767689
ID0509,0.0,199.12,131.173002724289,98.9601521767689
ID0511,0.0,163.91666666666666,131.173002724289,98.9601521767689
ID0517,4.0,295.68,222.24722808458992,139.78949632344612
ID0530,3.0,146.8,113.57842232275969,77.6044360447549
ID0539,1.0,436.36,153.4128821343718,123.00418083421654
ID0543,4.0,323.28,222.24722808458992,139.78949632344612
ID0544,1.0,209.4,153.4128821343718,123.00418083421654
ID0545,0.0,432.72,131.173002724289,98.9601521767689
ID0546,0.0,230.04,131.173002724289,98.9601521767689
ID0549,0.0,609.1739130434783,131.173002724289,98.9601521767689
ID0551,2.0,167.24,92.95002341552134,68.66288330097842
ID0555,4.0,361.2,222.24722808458992,139.78949632344612
ID0558,4.0,293.8,222.24722808458992,139.78949632344612
ID0565,0.0,176.6,131.173002724289,98.9601521767689
ID0566,1.0,214.44,153.4128821343718,123.00418083421654
ID0571,1.0,316.76,153.4128821343718,123.00418083421654
ID0596,0.0,186.16,131.173002724289,98.9601521767689
ID0597,2.0,194.96,92.95002341552134,68.66288330097842
ID0600,0.0,364.1304347826087,131.173002724289,98.9601521767689
ID0602,0.0,258.72,131.173002724289,98.9601521767689
ID0605,3.0,139.92,113.57842232275969,77.6044360447549
ID0614,2.0,116.64,92.95002341552134,68.66288330097842
ID0622,0.0,180.65,131.173002724289,98.9601521767689
ID0630,4.0,327.92,222.24722808458992,139.78949632344612
ID0631,3.0,272.08,113.57842232275969,77.6044360447549
ID0634,2.0,132.28571428571428,92.95002341552134,68.66288330097842
ID0644,2.0,114.16,92.95002341552134,68.66288330097842
ID0655,2.0,120.92,92.95002341552134,68.66288330097842
ID0661,1.0,448.7391304347826,153.4128821343718,123.00418083421654
ID0667,2.0,120.76,92.95002341552134,68.66288330097842
ID0676,0.0,201.6,131.173002724289,98.9601521767689
ID0684,0.0,185.32,131.173002724289,98.9601521767689
ID0686,0.0,379.32,131.173002724289,98.9601521767689
ID0692,2.0,138.68,92.95002341552134,68.66288330097842
ID0696,2.0,159.36,92.95002341552134,68.66288330097842
ID0700,1.0,235.92,153.4128821343718,123.00418083421654
ID0704,0.0,180.08,131.173002724289,98.9601521767689
ID0713,1.0,213.44,153.4128821343718,123.00418083421654
ID0719,0.0,298.28,131.173002724289,98.9601521767689
ID0721,0.0,303.68,131.173002724289,98.9601521767689
ID0731,2.0,196.16,92.95002341552134,68.66288330097842
ID0739,3.0,143.64,113.57842232275969,77.6044360447549
ID0741,0.0,588.0,131.173002724289,98.9601521767689
ID0744,2.0,132.24,92.95002341552134,68.66288330097842
ID0748,2.0,136.72,92.95002341552134,68.66288330097842
ID0750,2.0,115.16,92.95002341552134,68.66288330097842
ID0753,0.0,216.52,131.173002724289,98.9601521767689
ID0762,2.0,138.56,92.95002341552134,68.66288330097842
ID0769,0.0,288.08,131.173002724289,98.9601521767689
ID0772,4.0,371.68,222.24722808458992,139.78949632344612
ID0774,1.0,213.04,153.4128821343718,123.00418083421654
ID0775,4.0,297.04,222.24722808458992,139.78949632344612
ID0777,1.0,194.96,153.4128821343718,123.00418083421654
ID0781,0.0,432.2,131.173002724289,98.9601521767689
ID0792,0.0,179.08,131.173002724289,98.9601521767689
ID0793,1.0,233.48,153.4128821343718,123.00418083421654
ID0796,4.0,405.36,222.24722808458992,139.78949632344612
ID0798,4.0,293.96,222.24722808458992,139.78949632344612
ID0802,2.0,135.2,92.95002341552134,68.66288330097842
ID0813,3.0,154.92,113.57842232275969,77.6044360447549
ID0814,2.0,149.25,92.95002341552134,68.66288330097842
ID0822,1.0,225.96,153.4128821343718,123.00418083421654
ID0826,0.0,165.64705882352942,131.173002724289,98.9601521767689
ID0830,0.0,211.2,131.173002724289,98.9601521767689
ID0832,2.0,149.88,92.95002341552134,68.66288330097842
ID0833,1.0,378.08,153.4128821343718,123.00418083421654
ID0841,4.0,493.9166666666667,222.24722808458992,139.78949632344612
ID0843,4.0,306.28,222.24722808458992,139.78949632344612
ID0849,0.0,162.96,131.173002724289,98.9601521767689
ID0857,0.0,169.56,131.173002724289,98.9601521767689
ID0865,2.0,184.48,92.95002341552134,68.66288330097842
ID0870,2.0,132.52173913043478,92.95002341552134,68.66288330097842
ID0882,0.0,195.88,131.173002724289,98.9601521767689
ID0887,3.0,176.88,113.57842232275969,77.6044360447549
ID0888,2.0,127.6,92.95002341552134,68.66288330097842
ID0899,4.0,333.76,222.24722808458992,139.78949632344612
ID0901,0.0,270.16,131.173002724289,98.9601521767689
ID0902,3.0,159.0,113.57842232275969,77.6044360447549
ID0912,3.0,201.56,113.57842232275969,77.6044360447549
ID0923,2.0,153.68,92.95002341552134,68.66288330097842
ID0934,2.0,154.04,92.95002341552134,68.66288330097842
ID0939,0.0,313.04,131.173002724289,98.9601521767689
ID0951,1.0,216.92,153.4128821343718,123.00418083421654
ID0954,3.0,137.52380952380952,113.57842232275969,77.6044360447549
ID0958,2.0,127.96,92.95002341552134,68.66288330097842
ID0965,1.0,325.84,153.4128821343718,123.00418083421654
ID0969,2.0,144.34782608695653,92.95002341552134,68.66288330097842
ID0975,2.0,1227.72,92.95002341552134,68.66288330097842
ID0976,0.0,224.0,131.173002724289,98.9601521767689
ID0980,0.0,281.88,131.173002724289,98.9601521767689
ID0982,3.0,554.48,113.57842232275969,77.6044360447549
ID0983,4.0,342.68,222.24722808458992,139.78949632344612
ID0985,0.0,186.12,131.173002724289,98.9601521767689
ID0987,4.0,325.0,222.24722808458992,139.78949632344612
ID0994,2.0,147.48,92.95002341552134,68.66288330097842
ID1028,1.0,204.68,153.4128821343718,123.00418083421654
ID1030,2.0,146.64,92.95002341552134,68.66288330097842
ID1031,2.0,125.68,92.95002341552134,68.66288330097842
ID1039,3.0,169.64,113.57842232275969,77.6044360447549
ID1046,0.0,200.92,131.173002724289,98.9601521767689
ID1051,1.0,360.52,153.4128821343718,123.00418083421654
ID1054,1.0,278.6666666666667,153.4128821343718,123.00418083421654
ID1066,2.0,122.16,92.95002341552134,68.66288330097842
ID1074,0.0,166.65217391304347,131.173002724289,98.9601521767689
ID1079,0.0,362.28,131.173002724289,98.9601521767689
ID1089,1.0,208.76,153.4128821343718,123.00418083421654
ID1094,4.0,383.72,222.24722808458992,139.78949632344612
ID1097,4.0,316.8,222.24722808458992,139.78949632344612
ID1101,0.0,251.48,131.173002724289,98.9601521767689
ID1103,2.0,125.96,92.95002341552134,68.66288330097842
ID1106,2.0,143.8125,92.95002341552134,68.66288330097842
ID1108,3.0,249.64,113.57842232275969,77.6044360447549
ID1111,0.0,231.12,131.173002724289,98.9601521767689
ID1121,0.0,188.8,131.173002724289,98.9601521767689
ID1126,2.0,265.0833333333333,92.95002341552134,68.66288330097842
ID1127,1.0,258.5416666666667,153.4128821343718,123.00418083421654
ID1132,1.0,901.68,153.4128821343718,123.00418083421654
ID1142,4.0,469.1304347826087,222.24722808458992,139.78949632344612
ID1149,2.0,127.26315789473684,92.95002341552134,68.66288330097842
ID1159,0.0,388.92,131.173002724289,98.9601521767689
ID1163,1.0,376.56,153.4128821343718,123.00418083421654
ID1165,4.0,1015.56,222.24722808458992,139.78949632344612
ID1175,1.0,226.76,153.4128821343718,123.00418083421654
ID1176,0.0,286.1666666666667,131.173002724289,98.9601521767689
ID1177,2.0,243.84,92.95002341552134,68.66288330097842
ID1180,2.0,147.92,92.95002341552134,68.66288330097842
ID1183,0.0,237.52,131.173002724289,98.9601521767689
ID1184,1.0,492.64,153.4128821343718,123.00418083421654
ID1189,0.0,214.92,131.173002724289,98.9601521767689
ID1191,3.0,215.52,113.57842232275969,77.6044360447549
ID1196,0.0,217.6,131.173002724289,98.9601521767689
ID1203,2.0,184.4,92.95002341552134,68.66288330097842
ID1205,2.0,180.08333333333334,92.95002341552134,68.66288330097842
ID1208,2.0,297.04,92.95002341552134,68.66288330097842
ID1211,2.0,150.32,92.95002341552134,68.66288330097842
ID1214,2.0,422.32,92.95002341552134,68.66288330097842
ID1227,1.0,249.72,153.4128821343718,123.00418083421654
ID1230,2.0,136.08,92.95002341552134,68.66288330097842
ID1236,1.0,199.12,153.4128821343718,123.00418083421654
ID1244,1.0,229.72,153.4128821343718,123.00418083421654
ID1246,2.0,136.76,92.95002341552134,68.66288330097842
ID1262,4.0,447.375,222.24722808458992,139.78949632344612
ID1263,2.0,117.56,92.95002341552134,68.66288330097842
ID1271,1.0,197.04,153.4128821343718,123.00418083421654
ID1273,0.0,346.4,131.173002724289,98.9601521767689
ID1277,0.0,197.375,131.173002724289,98.9601521767689
ID1282,1.0,342.90909090909093,153.4128821343718,123.00418083421654
ID1284,0.0,763.36,131.173002724289,98.9601521767689
ID1287,4.0,326.0,222.24722808458992,139.78949632344612
ID1288,0.0,163.24,131.173002724289,98.9601521767689
ID1292,1.0,219.76,153.4128821343718,123.00418083421654
ID1299,2.0,117.12,92.95002341552134,68.66288330097842
ID1301,2.0,124.72,92.95002341552134,68.66288330097842
ID1314,0.0,163.16,131.173002724289,98.9601521767689
ID1321,2.0,199.88,92.95002341552134,68.66288330097842
ID1322,0.0,170.72,131.173002724289,98.9601521767689
ID1329,1.0,190.48,153.4128821343718,123.00418083421654
ID1333,0.0,176.32,131.173002724289,98.9601521767689
ID1335,4.0,425.72,222.24722808458992,139.78949632344612
