household_ID,percent_low_pf,num_records
ID4695,99.77774690929296,14398
ID1097,99.21578547938275,7906
ID2863,98.44407064760303,14268
ID1132,97.82116581777022,7068
ID5311,94.61776459971638,15514
ID4351,92.7467372346184,33254
ID5529,89.34722517541994,4703
ID5420,85.93575314899009,13417
ID0445,84.88604353393086,19525
ID5069,83.47695469997628,12649
ID4550,78.2666163141994,10592
ID3291,77.60319694836747,22021
ID4519,76.71098584645549,16321
ID5308,76.24096947098579,17164
ID1751,75.93965606013798,19422
ID4246,73.42369477911646,29880
ID5288,71.69412758766371,4734
ID4142,71.22195796104648,15557
ID4195,67.99786058120877,16827
ID3148,67.63292512788715,19353
ID5298,66.7156394622787,13613
ID2320,65.67544604927782,21186
ID4673,62.11573236889693,12166
ID2440,61.824797089280715,7146
ID4327,61.51129943502824,25488
ID5505,61.48942478750741,20236
ID0485,61.040235525024535,2038
ID5526,60.80291165765964,9067
ID3029,58.94320843091335,13664
ID4349,58.15047021943573,5742
ID4952,57.9880694143167,18440
ID5243,56.98230088495575,11300
ID4896,56.880854994062545,30316
ID3095,56.82502671718643,10293
ID4903,56.534527709071455,14959
ID4894,56.40105188462662,23957
ID3522,55.30548388867541,18217
ID1764,53.85021097046413,13272
ID1753,53.77049180327869,3965
ID3566,53.29243353783231,14670
ID4407,51.84623166413759,7908
ID4659,51.66292005302899,17349
ID4443,51.04474894159421,21967
ID3030,50.9208335435693,19819
ID0844,50.667647986541894,19022
ID4994,50.56024395432948,28202
ID5335,50.462527825871874,20215
ID4768,50.310443023201536,21421
ID5545,50.022747952684256,13188
ID5434,49.626127116780296,9094
ID4326,49.326704956802935,20719
ID3474,49.30555555555556,12960
ID5501,49.15318889227952,13108
ID5543,49.04514847113368,9059
ID5290,49.02842337880058,13123
ID4330,48.9319662501335,18726
ID5416,48.667102491465094,13767
ID0041,48.54352441613588,11775
ID5413,48.18742560328968,18482
ID5217,47.91541065714418,21563
ID5357,47.89950861651325,14449
ID3032,47.81032482598608,27584
ID2839,47.80793319415449,13412
ID1683,47.757653349399405,26557
ID5133,47.5239841986456,14176
ID4505,47.219623045047456,14962
ID5367,47.02456879818091,18031
ID0682,46.99774266365688,13290
ID4463,46.92936974305796,17358
ID4725,46.861125910140295,22524
ID5341,46.835443037974684,4740
ID5049,46.80578626799557,28896
ID1026,46.65485157288436,4514
ID4545,46.486810551558754,8340
ID4194,46.313316993464056,9792
ID3639,46.16133518776078,14380
ID5569,46.08824198317034,8794
ID4352,46.04948568251321,17985
ID1359,45.994018573902096,25412
ID4323,45.98156040706271,22994
ID4342,45.933801939674346,22478
ID1006,45.87244821934138,13422
ID0066,45.80833286603488,17833
ID5460,45.78882497945768,4868
ID4198,45.71827422239672,22923
ID5533,45.68081991215227,6830
ID1184,45.62942008486563,7070
ID5404,45.507179249652616,4318
ID0580,45.486006620523625,13292
ID5310,45.22017733402876,13421
ID0129,45.20776463451623,13188
ID1146,45.16590173801821,13291
ID5038,45.15198484457074,23226
ID5552,45.1417240172635,8573
ID4518,45.06003535076491,16407
ID5548,45.022590361445786,13280
ID2161,44.92849284928493,13635
ID5425,44.92401215805471,8225
ID5303,44.92323796231682,11464
ID2875,44.89751417357174,9172
ID3787,44.87358461299829,12894
ID3445,44.83852025836759,8515
ID5387,44.77699530516432,8520
ID2753,44.62996389891697,22160
ID5342,44.50884456153557,13285
ID5494,44.488431424298405,11367
ID5348,44.41689209498046,13308
ID0210,44.40377678760874,18852
ID3016,44.363941427699814,26224
ID4205,44.29773723731291,19843
ID5305,44.260880286031316,8111
ID3515,44.22727602993534,13763
ID5531,44.184172661870505,17375
ID5564,44.116947943903014,4207
ID0127,44.104658865091636,9058
ID0841,44.090056285178235,11726
ID4338,44.068131000920694,30412
ID5081,44.05829596412556,16948
ID5285,44.034562977733465,9027
ID5304,43.93272322532773,20215
ID5487,43.92758484609313,20272
ID0135,43.899872209276104,13303
ID5391,43.88500037630767,13287
ID5373,43.822057863824234,9194
ID4150,43.7752513389082,21286
ID2551,43.716684434968016,15008
ID5532,43.69369369369369,15984
ID5512,43.690462189815364,8503
ID3233,43.66783034984773,13463
ID5366,43.63088378689832,11281
ID5377,43.58822132510093,8422
ID3073,43.51630867143994,21369
ID0043,43.474970267055895,18498
ID4185,43.39609286523216,14128
ID0234,43.34447502949273,20344
ID4613,43.28040922075334,15053
ID0936,43.227536879749664,13422
ID4096,43.22663010071398,21149
ID5530,43.223973709129396,17953
ID3786,43.15245478036176,4644
ID2077,43.127962085308056,13293
ID1363,43.095755634366775,8741
ID1732,43.08379796654641,24392
ID5246,43.064471113591964,10749
ID5515,43.04825291181365,15025
ID3651,43.03382506332886,13422
ID5415,43.014042519808584,12747
ID1454,42.990247300592124,22968
ID4730,42.953288999278904,12481
ID5345,42.91885947686749,12731
ID0531,42.91022141340613,13188
ID5565,42.83318961387372,20874
ID4328,42.81568847701956,21366
ID2223,42.728967606618504,8582
ID5433,42.680736416704086,4454
ID4203,42.671455447237896,23388
ID5338,42.669824399260634,17312
ID5282,42.65644955300127,13311
ID2226,42.65614275909403,8742
ID3774,42.59709690074539,12745
ID1875,42.57174804323519,13415
ID3281,42.571226748292915,21235
ID5110,42.54745655789413,17437
ID5292,42.400647813629,16054
ID4093,42.38733878012435,19461
ID0952,42.28599327329934,18434
ID3527,42.253875157100964,11935
ID5364,42.24644862900562,15135
ID4373,42.18631384882334,9221
ID2597,42.17683735087633,20369
ID5426,42.15634639981943,13291
ID3733,42.10526315789473,228
ID0296,42.04169989745927,17554
ID0555,41.99080820535814,17842
ID2469,41.97652983229172,22241
ID4191,41.955864032746035,22476
ID0202,41.9464493597206,21475
ID5370,41.943127962085306,4642
ID5414,41.91813172395696,7622
ID3440,41.91339912865653,22494
ID4665,41.864731217100015,12538
ID2011,41.84994861253854,4865
ID5470,41.84154175588865,14010
ID5510,41.84087981769543,20186
ID5508,41.795665634674926,323
ID0321,41.742106425259436,9058
ID4415,41.709322165348226,12894
ID4211,41.70328250193849,15476
ID1480,41.69752008382815,14315
ID5418,41.66666666666667,324
ID0487,41.66666666666667,324
ID5333,41.66557204781295,7613
ID4339,41.61924686192469,23900
ID0177,41.616724738675956,7175
ID4259,41.553074245939676,13792
ID1867,41.52503445107947,17416
ID4651,41.52145717024756,17733
ID0558,41.4419827262486,13315
ID2564,41.42723506614994,22449
ID1407,41.395901732140835,17666
ID5443,41.35771403008444,17883
ID5291,41.340375159351666,10982
ID1240,41.32504760950185,19954
ID5267,41.31212233321001,16218
ID4527,41.27886323268206,11260
ID4536,41.273387321977104,3581
ID1114,41.2344301914854,10758
ID0987,41.22409770824756,21861
ID2962,41.22167487684729,15225
ID0579,41.20950988689698,12997
ID5541,41.18354582631705,4157
ID5041,41.17002718163009,24649
ID2942,41.16206589492431,8984
ID5334,41.15874079035499,8958
ID5556,41.13175675675676,9472
ID4517,41.11243969818167,24253
ID5469,41.103861752777284,11342
ID1743,41.10311938081463,25582
ID5437,41.08272198330382,11859
ID4533,41.08247422680412,9700
ID0189,41.048414345706426,20717
ID0736,41.044278878187654,16509
ID0600,41.0433539780848,4198
ID1294,41.01701341168665,21101
ID0671,41.01593996154562,16123
ID3063,40.990082366784335,23796
ID2998,40.919398062255205,14553
ID5332,40.91137824993011,17885
ID5294,40.88274178785721,9833
ID5421,40.862237604393954,13291
ID4099,40.86030592411054,23666
ID4766,40.84541536050157,20416
ID0345,40.801265155508695,13279
ID0544,40.78516902944384,9170
ID5457,40.773630343166765,13288
ID5563,40.756863715063076,20215
ID2999,40.74109813760494,20726
ID5129,40.69554606467358,13112
ID5562,40.657698056801195,20739
ID5048,40.61740890688259,29640
ID4534,40.613202150783664,8741
ID5372,40.59890151230155,13291
ID5360,40.572792362768496,419
ID1205,40.50520717925992,4513
ID5312,40.4733820869702,12717
ID0018,40.45237384293819,13396
ID3207,40.45027583122111,13414
ID4532,40.44670050761422,4925
ID3058,40.42045623974951,13414
ID0772,40.410031590484174,15511
ID3725,40.358236782527634,15018
ID3074,40.32786885245901,13420
ID5575,40.22028453418999,10895
ID3736,40.15356820234869,13284
ID5572,40.14280932723418,8963
ID5459,40.064705439771274,13291
ID4186,39.9822695035461,4512
ID5440,39.98226025253052,19166
ID0741,39.968555224886295,17809
ID5474,39.92857142857143,8400
ID0533,39.777175549533276,13284
ID2323,39.7562260176059,13291
ID4147,39.75254730713246,20610
ID4539,39.717147908073066,10182
ID3094,39.641183864701176,8751
ID5296,39.62744670013825,13743
ID3069,39.61995050127942,23839
ID2009,39.61689159773618,4594
ID5405,39.58333333333333,96
ID5300,39.566135534651565,20836
ID4192,39.56405693950178,22480
ID3625,39.558258642765686,15620
ID5403,39.54352441613588,13188
ID0733,39.49747563696137,8517
ID4206,39.49371847488957,31919
ID0545,39.45982545892266,13292
ID2042,39.45843548027636,8974
ID5202,39.404581371218775,25058
ID4336,39.39767129422302,26796
ID4213,39.36066920606468,13389
ID5410,39.35718617343845,13192
ID5411,39.35559921414538,12725
ID5484,39.34725719646472,20253
ID5166,39.33497813165863,17834
ID4547,39.31970666250585,6409
ID5454,39.29756320787095,8741
ID4544,39.288877641401996,7903
ID5419,39.18441050334813,13291
ID5477,39.16799272561946,13197
ID3263,39.16773271126496,13289
ID5481,39.143570208853276,7613
ID5498,39.10787236391741,9057
ID5550,39.0797398217297,20755
ID4082,39.07314184187148,6754
ID5468,39.06713780918728,7075
ID1028,39.059701492537314,13400
ID1757,39.0556253928347,12728
ID5295,39.007302737042096,16843
ID3267,38.97189306771996,17469
ID5118,38.963432615747564,27128
ID2581,38.872735405949456,13413
ID1621,38.845401174168295,18396
ID4202,38.81720430107527,17670
ID3376,38.806765215075245,15018
ID5453,38.78007402837754,12968
ID4168,38.696544106043866,31685
ID5438,38.69496579547448,11402
ID5417,38.619926199262,13550
ID2717,38.611250056841435,21991
ID4277,38.58486889717753,17963
ID5340,38.49973666390791,13291
ID5368,38.49738737466459,7081
ID3395,38.42855811352409,21458
ID0154,38.36868231046932,8864
ID4240,38.354671751566336,18355
ID0453,38.29085724469791,11222
ID1429,38.286207108975546,16233
ID5272,38.2716049382716,324
ID5336,38.17070570677279,14071
ID2811,38.15759508084719,8782
ID5402,38.11601835828756,13291
ID5422,38.0331916060897,14582
ID5328,37.922193735369525,8971
ID5463,37.8552343939762,16468
ID4548,37.835967239589344,8669
ID3555,37.823548848992175,9079
ID5456,37.80691118520764,13196
ID5504,37.79499510196812,11229
ID5539,37.760037293863995,17161
ID3806,37.7597207831161,18337
ID4189,37.69452775734254,17671
ID5528,37.69377625047728,13095
ID5500,37.65921313331446,7066
ID5412,37.63542902332938,12645
ID5467,37.50450775333574,2773
ID0250,37.46371958026345,8958
ID4193,37.449904164488586,22956
ID4388,37.43770764119601,9632
ID5538,37.37841229996862,12748
ID2923,37.371487320082245,17508
ID5427,37.294207317073166,13120
ID4838,37.21990307566816,20841
ID1165,37.1946964410328,10031
ID5343,37.178435612556854,13411
ID4370,37.135459253202505,7338
ID1496,37.04735376044568,13283
ID2187,37.02950711577559,18199
ID5314,37.01702685003274,6108
ID1102,37.003685904912984,21433
ID4354,36.972837741243744,22384
ID5558,36.9326623532231,20865
ID4566,36.89114201548263,14597
ID5566,36.87023768907085,8793
ID5362,36.750952545895395,14435
ID2167,36.69090475622839,8389
ID2312,36.65485680543254,6774
ID5557,36.653352596243735,11767
ID5359,36.62722302954813,14451
ID5289,36.586791350087665,13688
ID5509,36.51551312649165,419
ID5441,36.51430565247732,5732
ID3760,36.43938341896959,7201
ID5171,36.286007674431175,18503
ID3389,36.27222868539139,12034
ID2420,36.20147621651176,14632
ID5465,36.15000308394498,16213
ID2774,36.13561793656581,13715
ID1602,36.112971645456575,17916
ID2278,36.06376003933781,24404
ID4728,36.05767215725722,23859
ID2588,36.051647978253484,20601
ID5159,36.051104500902134,20507
ID5495,36.04969227262366,8774
ID1778,35.95683319378547,10749
ID5315,35.93409073809345,13291
ID3399,35.88938935243299,27086
ID3147,35.79788075280721,12646
ID2335,35.794871794871796,17550
ID5561,35.75530035335689,9056
ID3632,35.710559654221626,13419
ID0392,35.6234187364145,28063
ID3279,35.54812648001114,7179
ID5287,35.49429248330821,4643
ID3068,35.459801021780045,14876
ID4371,35.39596024366784,3119
ID5330,35.239415468145324,17313
ID5325,35.23921568627451,12750
ID3640,35.15875133404482,14992
ID4567,35.099787301443634,22097
ID3385,34.99739214663587,13421
ID0264,34.98404313854957,18174
ID5080,34.962072028975605,14633
ID4247,34.816095567431624,19086
ID2142,34.71499260972945,15561
ID5423,34.659090909090914,8800
ID5365,34.61399057629576,16554
ID1680,34.57943925233645,321
ID5511,34.53350220131476,16581
ID1054,34.513069627573444,8646
ID5516,34.39940890859194,9474
ID3763,34.393499709808474,8615
ID4740,34.36980379115398,6014
ID4314,34.36105476673428,17255
ID3238,34.35179411597982,17641
ID5346,34.1750075826509,13188
ID4183,34.147386461011145,16338
ID5100,34.1171935235158,18158
ID5486,34.11292227734467,8466
ID1139,34.069016619032496,18894
ID4805,34.066421855453775,24781
ID4948,33.98327147842464,18053
ID3794,33.942255592538125,12919
ID4288,33.85290692466183,22326
ID4187,33.81167899326636,18118
ID5492,33.7636965939013,11773
ID2221,33.65155131264916,419
ID0954,33.636757693974864,13842
ID0246,33.61017982322463,13124
ID3222,33.59180479476417,14057
ID5520,33.55190042231607,8998
ID3624,33.519959281611285,13753
ID5244,33.49652151507343,15524
ID3480,33.28925429770597,17393
ID2313,33.265754350397025,17757
ID2027,33.23019801980198,8080
ID5326,33.17683881064163,13419
ID3454,33.14906595501335,20984
ID1795,33.136144325571635,23835
ID5522,33.09418409403145,13102
ID5482,32.83138129763897,10758
ID4317,32.692964064557025,20509
ID1448,32.68561159159834,17806
ID4693,32.5528745904081,16785
ID4210,32.401839405730456,25443
ID3282,32.21096712127214,17671
ID4987,32.13247843535218,21679
ID2845,32.05282691473466,20747
ID5369,32.0481755986317,14032
ID5145,31.864967201749238,18751
ID1462,31.85271154251952,18956
ID1051,31.8209179834462,13290
ID3803,31.746324376641933,21697
ID4153,31.726036098025723,18893
ID4778,31.616054791761094,19857
ID4683,31.578633954623953,16793
ID5302,31.5265274851561,20884
ID5293,31.490552834149753,7145
ID2220,31.3609760936415,20162
ID0417,31.292998135407963,15553
ID2422,31.19088319088319,8775
ID1762,30.807210931220574,8709
ID5491,30.684222901481306,8506
ID4691,30.26598282442748,16768
ID0276,30.23634390449777,16586
ID3671,30.229296683262042,14261
ID5568,30.191035085528778,16018
ID4850,30.175032547374514,6913
ID2194,30.083342847357002,8759
ID5439,30.057330057330056,3663
